Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C1,C3",CP_Radial_D6.3mm_P2.50mm,2,100uF,
2,C2,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
3,CON1,BARREL_JACK,1,BARREL_JACK,
4,D1,D_5W_P5.08mm_Vertical_AnodeUp,1,1N5822,
5,L1,INDUCTOR_V,1,100 uH,
6,SW1,Pin_Header_Straight_1x02_Pitch2.54mm,1,SW_DIP_x01,
7,SW2,SW_DIP_x1_W7.62mm_Slide_LowProfile,1,SW_DIP_x01,
8,U1,TO-220-5_Pentawatt_Multiwatt-5_Vertical_StaggeredType1,1,LM2576HVS-5,
9,U3,DRV8825_BreakoutBoard,1,DRV8825BreakoutBoard,
10,U2,Pin_Header_Straight_2x20_Pitch2.54mm,1,Raspberry_Pi_2_3,
11,P1,Pin_Header_Straight_1x04_Pitch2.54mm,1,CONN_01X04,
,,,,,
"Plus additional 0.1"" headers for attaching connecting the DRV8825 breakout board (e.g. http://www.hobbytronics.co.uk/cables-connectors/pcb-headers-sockets/36way-header-254)",,,,,
